iter	Passed	Remaining
0	160	160490
1	162	81034
2	163	54493
3	165	41207
4	167	33246
5	168	27931
6	169	24087
7	171	21220
8	172	18999
9	174	17227
10	175	15819
11	177	14610
12	178	13580
13	180	12729
14	182	11979
15	183	11312
16	185	10722
17	186	10201
18	188	9738
19	189	9307
20	191	8923
21	192	8568
22	194	8253
23	195	7963
24	197	7710
25	199	7458
26	200	7228
27	202	7019
28	203	6823
29	205	6637
30	206	6463
31	208	6300
32	209	6151
33	211	6003
34	213	5898
35	216	5793
36	218	5696
37	221	5606
38	223	5496
39	225	5403
40	227	5317
41	228	5222
42	230	5138
43	233	5067
44	234	4981
45	236	4898
46	237	4815
47	239	4741
48	240	4667
49	241	4591
50	242	4521
51	244	4461
52	246	4407
53	248	4354
54	249	4293
55	251	4236
56	252	4181
57	253	4124
58	255	4068
59	256	4016
60	257	3964
61	259	3918
62	260	3877
63	262	3835
64	263	3791
65	264	3748
66	266	3704
67	266	3655
68	267	3615
69	269	3575
70	270	3539
71	271	3501
72	273	3468
73	274	3438
74	276	3410
75	277	3378
76	279	3345
77	280	3317
78	282	3288
79	283	3258
80	284	3230
81	286	3202
82	287	3174
83	289	3152
84	290	3124
85	292	3105
86	293	3074
87	294	3049
88	295	3023
89	296	3000
90	297	2976
91	299	2952
92	300	2929
93	301	2906
94	302	2884
95	304	2865
96	305	2846
97	306	2825
98	308	2805
99	309	2785
100	310	2765
101	311	2740
102	312	2721
103	313	2702
104	315	2685
105	316	2667
106	317	2648
107	318	2632
108	320	2618
109	321	2602
110	322	2585
111	324	2568
112	325	2552
113	326	2536
114	327	2521
115	328	2504
116	330	2490
117	331	2476
118	332	2461
119	334	2449
120	335	2440
121	337	2426
122	337	2409
123	339	2396
124	340	2382
125	341	2370
126	342	2357
127	343	2341
128	344	2329
129	346	2316
130	347	2304
131	348	2294
132	350	2284
133	351	2274
134	353	2262
135	354	2251
136	355	2239
137	357	2230
138	358	2221
139	360	2212
140	361	2203
141	363	2194
142	364	2184
143	366	2175
144	367	2165
145	368	2156
146	370	2148
147	371	2139
148	373	2131
149	374	2122
150	376	2115
151	377	2108
152	379	2099
153	380	2091
154	382	2083
155	383	2074
156	384	2066
157	386	2059
158	387	2051
159	389	2044
160	390	2037
161	392	2029
162	393	2021
163	394	2013
164	396	2004
165	397	1996
166	398	1988
167	399	1980
168	401	1971
169	402	1963
170	403	1955
171	404	1949
172	406	1942
173	408	1936
174	409	1930
175	411	1925
176	413	1920
177	414	1914
178	416	1909
179	417	1903
180	418	1895
181	420	1890
182	422	1884
183	423	1878
184	425	1874
185	426	1867
186	428	1860
187	429	1854
188	430	1847
189	431	1839
190	432	1832
191	434	1827
192	435	1821
193	437	1816
194	438	1810
195	440	1805
196	441	1800
197	442	1794
198	444	1789
199	445	1783
200	447	1778
201	448	1772
202	450	1768
203	452	1764
204	453	1759
205	455	1755
206	457	1751
207	459	1748
208	460	1744
209	462	1740
210	464	1738
211	466	1735
212	468	1731
213	470	1728
214	472	1723
215	473	1718
216	474	1713
217	476	1708
218	477	1704
219	479	1699
220	480	1694
221	482	1689
222	483	1684
223	484	1680
224	486	1675
225	487	1670
226	489	1666
227	490	1661
228	492	1656
229	493	1652
230	494	1647
231	496	1642
232	497	1637
233	498	1633
234	500	1629
235	502	1626
236	504	1623
237	505	1619
238	507	1614
239	508	1609
240	509	1605
241	511	1601
242	512	1597
243	514	1593
244	515	1588
245	516	1583
246	518	1579
247	519	1576
248	521	1571
249	522	1566
250	523	1562
251	524	1558
252	526	1553
253	527	1549
254	529	1546
255	530	1542
256	532	1540
257	534	1536
258	535	1532
259	537	1528
260	538	1524
261	539	1520
262	541	1516
263	542	1513
264	544	1509
265	545	1505
266	546	1501
267	547	1496
268	549	1492
269	550	1487
270	551	1484
271	553	1481
272	554	1476
273	555	1473
274	557	1469
275	558	1465
276	560	1461
277	561	1457
278	562	1453
279	563	1449
280	564	1445
281	566	1441
282	567	1436
283	568	1433
284	569	1429
285	571	1426
286	572	1422
287	574	1419
288	575	1415
289	576	1411
290	577	1408
291	579	1404
292	580	1401
293	581	1397
294	583	1393
295	584	1390
296	586	1387
297	587	1384
298	589	1381
299	590	1378
300	591	1374
301	593	1371
302	594	1367
303	595	1364
304	597	1360
305	598	1357
306	599	1354
307	601	1351
308	602	1348
309	604	1345
