iter	Passed	Remaining
0	140	140676
1	142	70860
2	143	47619
3	144	35910
4	145	28930
5	146	24250
6	147	20954
7	149	18486
8	150	16534
9	151	14969
10	152	13689
11	153	12630
12	154	11741
13	156	10990
14	157	10344
15	158	9770
16	159	9248
17	161	8786
18	161	8361
19	163	7991
20	164	7667
21	165	7357
22	166	7072
23	167	6823
24	169	6610
25	170	6394
26	171	6186
27	172	5999
28	173	5819
29	174	5647
30	175	5493
31	177	5355
32	178	5226
33	179	5107
34	180	4988
35	182	4893
36	184	4793
37	185	4700
38	186	4601
39	187	4503
40	188	4411
41	190	4338
42	191	4255
43	192	4178
44	193	4106
45	194	4035
46	196	3986
47	197	3924
48	199	3868
49	200	3812
50	202	3759
51	203	3705
52	204	3655
53	205	3606
54	207	3561
55	208	3517
56	209	3473
57	211	3440
58	213	3398
59	214	3355
60	215	3314
61	216	3282
62	218	3245
63	219	3211
64	220	3175
65	221	3139
66	223	3107
67	224	3079
68	226	3056
69	227	3025
70	228	2996
71	230	2966
72	231	2936
73	232	2907
74	233	2879
75	234	2852
76	235	2826
77	236	2800
78	238	2782
79	239	2759
80	241	2735
81	242	2712
82	243	2685
83	244	2667
84	245	2646
85	247	2628
86	248	2608
87	249	2587
88	250	2568
89	252	2552
90	254	2537
91	255	2524
92	257	2507
93	258	2491
94	259	2476
95	261	2459
96	262	2442
97	263	2425
98	264	2409
99	266	2394
100	267	2384
101	269	2370
102	270	2356
103	271	2342
104	273	2333
105	274	2318
106	276	2305
107	277	2292
108	278	2279
109	280	2266
110	281	2254
111	282	2242
112	284	2230
113	285	2219
114	287	2209
115	288	2197
116	289	2184
117	290	2173
118	292	2162
119	293	2153
120	294	2142
121	295	2128
122	297	2119
123	298	2109
124	300	2101
125	301	2092
126	302	2080
127	303	2069
128	305	2060
129	306	2050
130	307	2041
131	308	2031
132	310	2021
133	311	2012
134	312	2004
135	314	1996
136	315	1987
137	316	1977
138	317	1968
139	318	1958
140	320	1950
141	321	1940
142	322	1932
143	323	1923
144	325	1916
145	326	1909
146	327	1902
147	329	1894
148	330	1887
149	331	1880
150	333	1872
151	334	1864
152	335	1857
153	336	1849
154	337	1841
155	338	1833
156	340	1826
157	341	1819
158	343	1814
159	344	1807
160	345	1798
161	346	1791
162	347	1783
163	348	1776
164	349	1770
165	351	1764
166	352	1757
167	353	1751
168	355	1745
169	356	1739
170	357	1734
171	358	1727
172	360	1721
173	361	1716
174	363	1711
175	364	1706
176	365	1700
177	366	1694
178	368	1689
179	369	1683
180	371	1678
181	372	1673
182	373	1667
183	375	1663
184	376	1658
185	377	1652
186	378	1647
187	380	1641
188	381	1636
189	382	1630
190	383	1625
191	385	1620
192	386	1615
193	388	1613
194	389	1608
195	390	1602
196	391	1597
197	393	1592
198	394	1587
199	395	1582
200	396	1576
201	397	1572
202	399	1567
203	400	1564
204	402	1561
205	403	1556
206	405	1552
207	406	1548
208	407	1543
209	409	1539
210	410	1536
211	412	1531
212	413	1527
213	414	1523
214	416	1520
215	417	1516
216	418	1511
217	420	1507
218	421	1504
219	429	1522
220	431	1519
221	432	1515
222	433	1511
223	435	1506
224	436	1503
225	437	1498
226	439	1495
227	440	1490
228	441	1485
229	442	1482
230	443	1477
231	445	1474
232	446	1470
233	447	1465
234	449	1462
235	451	1460
236	452	1456
237	453	1451
238	454	1447
239	455	1443
240	456	1438
241	458	1434
242	459	1431
243	460	1427
244	461	1423
245	462	1418
246	464	1415
247	465	1412
248	467	1408
249	468	1405
250	469	1401
251	471	1398
252	472	1395
253	474	1393
254	475	1390
255	477	1387
256	479	1384
257	480	1380
258	481	1377
259	482	1374
260	484	1371
261	485	1368
262	486	1364
263	488	1361
264	489	1358
265	491	1355
266	492	1352
267	493	1348
268	495	1345
269	496	1341
270	497	1338
271	498	1334
272	499	1331
273	501	1329
274	503	1326
275	504	1323
276	505	1320
277	507	1317
278	509	1315
279	510	1313
280	512	1310
281	513	1307
282	514	1303
283	515	1300
284	517	1297
285	518	1295
286	534	1326
287	535	1323
288	537	1321
289	538	1318
290	540	1316
291	541	1312
292	542	1309
293	543	1306
294	545	1302
295	546	1299
296	548	1297
297	549	1294
298	551	1291
299	552	1289
300	554	1287
301	555	1284
302	557	1281
303	558	1278
304	559	1275
305	560	1272
306	562	1269
307	563	1266
308	565	1263
309	566	1261
310	568	1258
311	569	1255
312	570	1252
313	571	1248
314	572	1245
315	573	1242
316	575	1239
317	576	1235
318	577	1232
319	578	1229
320	580	1227
321	581	1224
322	583	1222
323	584	1219
324	585	1216
325	587	1213
326	588	1211
327	589	1208
328	590	1204
329	591	1201
